# Tikal Futura
# Hora del script: 2022-12-19T12:02:13.832157-06:00
# Actualización del servidor: 2022-12-19T12:25:32.659-03:00
# Tiempo	Unix	ISO 8601	Conteo de Entrada
4	1671184800.0	2022-12-16T04:00:00-06:00	19
5	1671188400.0	2022-12-16T05:00:00-06:00	36
6	1671192000.0	2022-12-16T06:00:00-06:00	30
7	1671195600.0	2022-12-16T07:00:00-06:00	21
8	1671199200.0	2022-12-16T08:00:00-06:00	25
9	1671202800.0	2022-12-16T09:00:00-06:00	25
10	1671206400.0	2022-12-16T10:00:00-06:00	30
11	1671210000.0	2022-12-16T11:00:00-06:00	29
12	1671213600.0	2022-12-16T12:00:00-06:00	28
13	1671217200.0	2022-12-16T13:00:00-06:00	18
14	1671220800.0	2022-12-16T14:00:00-06:00	21
15	1671224400.0	2022-12-16T15:00:00-06:00	32
16	1671228000.0	2022-12-16T16:00:00-06:00	39
17	1671231600.0	2022-12-16T17:00:00-06:00	58
18	1671235200.0	2022-12-16T18:00:00-06:00	53
19	1671238800.0	2022-12-16T19:00:00-06:00	42
20	1671242400.0	2022-12-16T20:00:00-06:00	26
21	1671246000.0	2022-12-16T21:00:00-06:00	9
22	1671249600.0	2022-12-16T22:00:00-06:00	1
#df65c74180e2d7965703f1e0819530e7
